id,user_id,category,review_type,title,excerpt,body,customer_type,destination_country,destination_city,tags,travel_month,displayed_date,rating_label,thumbnail_url,is_featured,display_order,status,rejection_reason,source_type,approved_at,approved_by,published_at,created_at,updated_at
9b1deb4d-3b7d-4bad-9bdd-2b0d7b3dcb6d,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,overseas,executive_group,"최고경영자 모임으로 다녀온 큐슈 여행, 동선과 식사 만족도가 높았습니다",20명의 인원이 이동하기에 최적화된 동선과 품격 있는 식사가 인상적이었습니다.,"대표님들이 모이는 자리라 식사와 숙소의 품격에 신경을 많이 썼는데 기대 이상이었습니다. 대형 버스 이동 중에도 가이드의 노련한 진행 덕분에 원우들 간의 대화 시간이 충분히 보장되었습니다. 전 일정 동안 불편함 없이 매끄럽게 운영된 점에 감사드립니다.",최고경영자모임,일본,큐슈,"[""최고경영자모임"", ""친목여행"", ""20명여행""]",2025-05-12,2025-05-15,4.9,,True,0,approved,,manual_admin,2025-05-15 10:00:00,admin,2025-05-15 10:05:00,2025-05-15 09:30:00,2025-05-15 10:00:00
7c2e9f5a-1d8c-4b9a-8e2f-3a4b5c6d7e8f,b2c3d4e5-f6g7-4h8i-9j0k-1l2m3n4o5p6q,overseas,hiking_group,"산악회 일정으로 떠난 스위스, 자연경관과 일정 구성이 모두 좋았습니다",회원들의 연령대를 고려한 완만한 트레킹 코스와 안전한 이동이 돋보였습니다.,"40여 명의 대규모 인원이었지만 전문 인솔자의 통제하에 안전하게 일정을 마쳤습니다. 스위스 알프스의 풍경을 즐기기에 무리 없는 트레킹 코스 배분이 훌륭했습니다. 숙소 컨디션과 한국인을 배려한 식단 구성도 만족스러웠습니다.",산악회,스위스,인터라켄,"[""산악회"", ""자연경관"", ""일정안정""]",2025-06-20,2025-06-25,4.8,,False,1,approved,,manual_admin,2025-06-25 14:00:00,admin,2025-06-25 14:10:00,2025-06-25 11:00:00,2025-06-25 14:00:00
d3f4e5a6-b7c8-4d9e-0f1a-2b3c4d5e6f7g,c3d4e5f6-g7h8-4i9j-0k1l-2m3n4o5p6q7r,overseas,couple_group,"부부동반 모임으로 다녀온 홋카이도, 편안하게 쉬고 오기 좋은 일정이었습니다",부부 10쌍이 함께한 여행이었는데 숙소의 독립성과 공용 시간 배분이 적절했습니다.,"부부들끼리의 오붓한 시간과 단체 활동이 균형 있게 구성되어 피로감이 적었습니다. 홋카이도 특유의 신선한 해산물 요리와 온천 숙소의 퀄리티가 참석자들 사이에서 호평을 받았습니다. 차량 이동 시간이 길지 않도록 효율적으로 배치된 동선이 특히 좋았습니다.",부부동반모임,일본,홋카이도,"[""부부동반모임"", ""휴양여행"", ""식사만족""]",2025-11-15,2025-11-20,5.0,,True,2,approved,,manual_admin,2025-11-20 16:30:00,admin,2025-11-20 16:45:00,2025-11-20 15:00:00,2025-11-20 16:30:00
e4f5g6h7-i8j9-4k0l-1m2n-3o4p5q6r7s8t,d4e5f6g7-h8i9-4j0k-1l2m-3n4o5p6q7r8s,overseas,business_group,"상인회 회원들과 함께한 베트남 다낭 연수, 단체 진행이 매우 원활했습니다",30명 규모의 상인회 단체 여행에서 가장 중요한 식당 예약과 차량 배차가 완벽했습니다.,"대인원을 수용할 수 있는 현지 식당들이 미리 섭외되어 대기 시간 없이 식사가 가능했습니다. 연수 목적에 맞는 시장 방문과 자유시간이 적절히 섞여 회원들의 참여도가 높았습니다. 가이드의 유연한 대처로 돌발 상황 없이 일정을 마무리했습니다.",상인회,베트남,다낭,"[""상인회"", ""단체연수"", ""30명여행""]",2025-03-10,2025-03-15,4.7,,False,3,approved,,manual_admin,2025-03-15 11:00:00,admin,2025-03-15 11:20:00,2025-03-15 10:00:00,2025-03-15 11:00:00
f5g6h7i8-j9k0-4l1m-2n3o-4p5q6r7s8t9u,e5f6g7h8-i9j0-4k1l-2m3n-4o5p6q7r8s9t,domestic,alumni_group,"대학원 동문 모임 제주 여행, 쾌적한 이동과 맛집 탐방이 즐거웠습니다",동문 15명과 함께한 제주 여행은 렌터카 대신 전용 버스를 이용해 훨씬 편리했습니다.,"동문들끼리 술잔을 기울일 수 있도록 전용 차량을 지원받아 이동 시 걱정이 없었습니다. 현지인들이 찾는 진짜 맛집들로만 구성된 식사 코스 덕분에 입이 즐거운 여행이었습니다. 숙소 앞 바다 산책로와 여유로운 조식 시간까지 모두 완벽한 배려였습니다.",대학원동문모임,한국,제주,"[""대학원동문모임"", ""친목여행"", ""15명여행""]",2025-04-22,2025-04-25,4.9,,True,4,approved,,manual_admin,2025-04-25 09:00:00,admin,2025-04-25 09:15:00,2025-04-25 08:30:00,2025-04-25 09:00:00
g6h7i8j9-k0l1-4m2n-3o4p-5q6r7s8t9u0v,f6g7h8i9-j0k1-4l2m-3n4o-5p6q7r8s9t0u,overseas,executive_group,"최고경영자과정 원우회 이탈리아 문화 기행, 인솔자의 전문성이 빛났습니다",역사와 예술을 아우르는 깊이 있는 일정으로 원우님들의 지적 만족도를 충족시켰습니다.,"로마와 피렌체 일정이 매우 체계적으로 짜여 있어 짧은 시간에도 많은 것을 보고 느꼈습니다. 단체 이동임에도 불구하고 각 명소에서 충분한 설명과 자유 감상 시간이 주어져 좋았습니다. 호텔의 위치와 저녁 연회 장소의 분위기가 매우 고급스러워 만족도가 컸습니다.",최고경영자과정모임,이탈리아,로마,"[""최고경영자과정모임"", ""문화탐방"", ""품격여행""]",2026-05-18,2026-05-28,5.0,,True,5,approved,,manual_admin,2026-05-28 17:00:00,admin,2026-05-28 17:30:00,2026-05-28 16:00:00,2026-05-28 17:00:00
h7i8j9k0-l1m2-4n3o-4p5q-6r7s8t9u0v1w,g7h8i9j0-k1l2-4m3n-4o5p-6q7r8s9t0u1v,overseas,senior_group,"시니어 모임으로 다녀온 후쿠오카 온천 여행, 부모님들도 만족하셨습니다",이동 거리를 최소화한 동선과 온천 중심의 일정이 어르신들께 딱 맞았습니다.,"어르신들이 걷기에 무리가 없도록 관광지 바로 앞까지 차량이 진입하는 점이 매우 편리했습니다. 식사마다 자극적이지 않고 건강한 현지식으로 구성되어 모든 회원분이 식사를 즐기셨습니다. 가이드의 세심한 보살핌 덕분에 안전 사고 없이 기분 좋게 다녀왔습니다.",시니어모임,일본,후쿠오카,"[""시니어모임"", ""힐링여행"", ""온천여행""]",2025-09-02,2025-09-07,4.8,,False,6,approved,,manual_admin,2025-09-07 10:30:00,admin,2025-09-07 10:45:00,2025-09-07 09:00:00,2025-09-07 10:30:00
i8j9k0l1-m2n3-4o4p-5q6r-7s8t9u0v1w2x,h8i9j0k1-l2m3-4n4o-5p6q-7r8s9t0u1v2w,overseas,association,"협회 정기 워크숍 싱가포르 투어, 비즈니스와 관광의 완벽한 조화",40명 협회원들의 다양한 요구사항을 모두 반영한 유연한 일정 운영이 좋았습니다.,"세미나 장소 섭외부터 기술 장비 지원까지 꼼꼼하게 챙겨주셔서 행사 진행이 수월했습니다. 공식 일정 이후의 나이트 사파리와 루프탑 만찬은 회원들 간의 네트워크를 공고히 하는 데 큰 역할을 했습니다. 싱가포르 도심 이동 시 대기 없는 차량 운영이 특히 인상적이었습니다.",협회모임,싱가포르,싱가포르,"[""협회모임"", ""워크숍"", ""40명여행""]",2026-01-14,2026-01-20,4.8,,False,7,approved,,manual_admin,2026-01-20 13:00:00,admin,2026-01-20 13:15:00,2026-01-20 12:00:00,2026-01-20 13:00:00
j9k0l1m2-n3o4-4p5q-6r7s-8t9u0v1w2x3y,i9j0k1l2-m3n4-4o5p-6q7r-8s9t0u1v2w3x,overseas,small_group,"대학원 동기들과 떠난 푸켓 휴양 여행, 일정 조율이 매우 자유로웠습니다",공통 일정은 최소화하고 팀별 자유시간을 극대화하여 모두의 만족도를 높였습니다.,"동기들끼리 조용히 쉬고 싶어 빌라 위주로 숙소를 잡았는데 위치와 서비스 모두 훌륭했습니다. 현지에서 먹고 싶은 메뉴를 즉석에서 반영해주는 가이드의 유연한 서비스에 감동받았습니다. 단체 여행 특유의 압박감 없이 즐긴 진짜 휴가 같은 시간이었습니다.",대학원모임,태국,푸켓,"[""대학원모임"", ""휴양여행"", ""일정안정""]",2025-07-22,2025-07-27,4.9,,False,8,approved,,manual_admin,2025-07-27 15:00:00,admin,2025-07-27 15:20:00,2025-07-27 14:00:00,2025-07-27 15:00:00
k0l1m2n3-o4p5-4q6r-7s8t-9u0v1w2x3y4z,j0k1l2m3-n4o5-4p6q-7r8s-9t0u1v2w3x4y,overseas,executive_group,"최고경영자 모임 오사카 미식 투어, 식당 섭외 능력이 탁월했습니다",평소 예약하기 힘든 현지 유명 맛집들을 대기 없이 이용할 수 있어 편리했습니다.,"미식에 조예가 깊은 대표님들을 모시는 여행이라 식단 구성에 공을 들였는데 결과적으로 대성공이었습니다. 이동 동선이 짧으면서도 오사카의 핵심을 짚어주는 가이드의 설명이 매우 유익했습니다. 숙소 컨디션과 야간의 자유로운 개별 활동 지원까지 세심하게 배려해주었습니다.",최고경영자모임,일본,오사카,"[""최고경영자모임"", ""미식여행"", ""20명여행""]",2025-12-05,2025-12-10,5.0,,True,9,approved,,manual_admin,2025-12-10 11:00:00,admin,2025-12-10 11:15:00,2025-12-10 10:00:00,2025-12-10 11:00:00
